iter	Passed	Remaining
0	1	1833
1	4	2357
2	7	2485
3	10	2554
4	12	2572
5	15	2548
6	18	2570
7	20	2582
8	25	2800
9	28	2858
10	32	2904
11	36	2991
12	38	2924
13	40	2852
14	42	2791
15	44	2738
16	46	2703
17	48	2662
18	50	2621
19	52	2590
20	54	2557
21	56	2525
22	58	2496
23	60	2473
24	62	2449
25	64	2430
26	66	2410
27	69	2395
28	72	2424
29	76	2459
30	85	2663
31	87	2647
32	89	2632
33	91	2611
34	93	2590
35	96	2571
36	98	2552
37	100	2533
38	102	2514
39	104	2498
40	106	2483
41	108	2467
42	110	2450
43	112	2436
44	114	2424
45	116	2411
46	119	2425
47	123	2442
48	126	2461
49	130	2480
50	133	2490
51	135	2477
52	137	2464
53	140	2454
54	142	2441
55	144	2429
56	146	2417
57	148	2406
58	150	2395
59	152	2384
60	154	2374
61	156	2363
62	158	2353
63	160	2345
64	162	2334
65	164	2325
66	167	2330
67	171	2343
68	174	2356
69	178	2371
70	181	2379
71	183	2369
72	185	2360
73	188	2362
74	190	2352
75	192	2340
76	194	2331
77	197	2332
78	200	2333
79	202	2329
80	204	2325
81	207	2320
82	209	2319
83	212	2314
84	215	2320
85	219	2329
86	222	2337
87	226	2351
88	230	2355
89	232	2347
90	234	2342
91	236	2333
92	238	2323
93	240	2314
94	241	2304
95	243	2296
96	245	2287
97	247	2278
98	249	2269
99	251	2260
100	253	2252
101	254	2243
102	256	2235
103	258	2225
104	260	2216
105	264	2234
106	267	2235
107	271	2238
108	274	2242
109	277	2245
110	279	2236
111	280	2227
112	282	2219
113	284	2210
114	286	2203
115	288	2195
116	289	2188
117	291	2180
118	293	2173
119	295	2166
120	297	2159
121	299	2153
122	301	2146
123	302	2139
124	304	2132
125	306	2125
126	308	2118
127	312	2131
128	316	2136
129	319	2140
130	323	2144
131	326	2144
132	328	2138
133	329	2131
134	331	2125
135	333	2118
136	335	2112
137	337	2106
138	339	2101
139	341	2097
140	343	2092
141	345	2085
142	347	2080
143	349	2075
144	351	2071
145	353	2066
146	355	2062
147	357	2057
148	360	2059
149	364	2064
150	367	2067
151	370	2068
152	373	2069
153	375	2063
154	377	2058
155	379	2052
156	381	2047
157	383	2041
158	384	2035
159	386	2029
160	388	2024
161	390	2018
162	392	2015
163	395	2014
164	397	2011
165	399	2008
166	402	2005
167	404	2002
168	416	2049
169	420	2051
170	423	2050
171	425	2047
172	427	2045
173	430	2043
174	432	2038
175	434	2033
176	436	2027
177	437	2022
178	439	2016
179	441	2011
180	443	2005
181	445	2001
182	447	1997
183	449	1993
184	451	1990
185	453	1984
186	456	1984
187	459	1986
188	463	1988
189	466	1989
190	469	1990
191	471	1985
192	473	1980
193	475	1975
194	477	1969
195	478	1964
196	480	1959
197	482	1954
198	484	1949
199	486	1944
200	487	1939
201	489	1934
202	491	1929
203	493	1924
204	495	1920
205	497	1917
206	499	1912
207	501	1907
208	503	1904
209	506	1905
210	510	1907
211	513	1909
212	516	1909
213	519	1907
214	521	1902
215	523	1898
216	524	1893
217	526	1888
218	528	1885
219	530	1880
220	532	1875
221	534	1872
222	536	1867
223	538	1864
224	539	1859
225	541	1855
226	543	1851
227	545	1846
228	547	1842
229	548	1837
230	551	1834
231	554	1835
232	557	1835
233	560	1835
234	564	1836
235	566	1834
236	568	1830
237	570	1825
238	572	1821
239	573	1817
240	575	1813
241	577	1810
242	579	1806
243	581	1802
244	583	1798
245	585	1794
246	588	1793
247	590	1791
248	592	1788
249	595	1785
250	597	1782
251	600	1782
252	603	1782
253	607	1784
254	611	1785
255	614	1786
256	616	1782
257	618	1778
258	620	1774
259	622	1770
260	623	1766
261	625	1762
262	627	1758
263	629	1755
264	632	1753
265	634	1750
266	636	1746
267	637	1742
268	639	1738
269	641	1734
270	643	1730
271	645	1726
272	647	1724
273	650	1724
274	653	1722
275	656	1722
276	659	1721
277	662	1720
278	664	1716
279	666	1712
280	667	1708
281	669	1704
282	671	1701
283	673	1698
284	675	1694
285	677	1690
286	679	1686
287	680	1683
288	682	1679
289	684	1675
290	686	1671
291	687	1668
292	689	1664
293	691	1660
294	693	1657
295	696	1655
296	699	1654
297	702	1654
298	707	1658
299	710	1657
300	712	1654
301	714	1651
302	716	1647
303	718	1643
304	719	1640
305	721	1636
306	723	1633
307	725	1629
308	727	1625
309	728	1622
310	730	1618
311	732	1615
312	734	1611
313	736	1608
314	737	1604
315	739	1601
316	741	1597
317	744	1596
318	748	1596
319	751	1596
320	754	1597
321	758	1596
322	760	1593
323	762	1590
324	764	1586
325	765	1583
326	767	1580
327	769	1576
328	771	1573
329	773	1569
330	774	1566
331	776	1562
332	778	1559
333	780	1555
334	782	1554
335	785	1552
336	787	1550
337	790	1547
338	793	1547
339	797	1547
340	800	1546
341	803	1546
342	806	1545
343	809	1543
344	811	1540
345	813	1538
346	815	1535
347	817	1532
348	819	1529
349	821	1525
350	823	1522
351	825	1518
352	826	1515
353	828	1512
354	831	1511
355	833	1508
356	835	1504
357	837	1501
358	844	1507
359	847	1506
360	850	1505
361	854	1505
362	855	1502
363	857	1498
364	859	1495
365	861	1492
366	863	1488
367	864	1485
368	866	1482
369	868	1478
370	870	1475
371	872	1472
372	874	1469
373	875	1465
374	877	1462
375	879	1459
376	881	1456
377	883	1453
378	885	1450
379	890	1452
380	894	1452
381	897	1451
382	900	1451
383	903	1449
384	905	1446
385	907	1443
386	909	1439
387	910	1436
388	912	1433
389	914	1430
390	916	1427
391	918	1423
392	919	1420
393	921	1417
394	923	1414
395	925	1411
396	926	1407
397	928	1404
398	930	1401
399	932	1398
400	934	1395
401	937	1394
402	941	1394
403	944	1393
404	947	1391
405	950	1391
406	952	1388
